date,time,region,tempC,precipMM,stringency,forecasted_activity
2020-06-27,0 days 17:00:00.000000000,phoenix park,14.47,0.16,72.22,moderate
2020-06-27,0 days 17:00:00.000000000,trinity,14.47,0.16,72.22,moderate
2020-06-27,0 days 18:00:00.000000000,trinity,13.82,0.34,72.22,calm
2020-06-27,0 days 18:00:00.000000000,phoenix park,13.82,0.34,72.22,calm
2020-06-27,0 days 19:00:00.000000000,phoenix park,13.03,0.3,72.22,calm
2020-06-27,0 days 19:00:00.000000000,trinity,13.03,0.3,72.22,calm
2020-06-27,0 days 20:00:00.000000000,trinity,11.99,0.21,72.22,calm
2020-06-27,0 days 20:00:00.000000000,phoenix park,11.99,0.21,72.22,calm
2020-06-27,0 days 21:00:00.000000000,phoenix park,11.32,0.0,72.22,calm
2020-06-27,0 days 21:00:00.000000000,trinity,11.32,0.0,72.22,calm
2020-06-27,0 days 22:00:00.000000000,trinity,10.91,0.0,72.22,calm
2020-06-27,0 days 22:00:00.000000000,phoenix park,10.91,0.0,72.22,calm
2020-06-27,0 days 23:00:00.000000000,phoenix park,10.97,0.66,72.22,calm
2020-06-27,0 days 23:00:00.000000000,trinity,10.97,0.66,72.22,calm
2020-06-28,0 days 00:00:00.000000000,trinity,10.93,0.98,72.22,calm
2020-06-28,0 days 00:00:00.000000000,phoenix park,10.93,0.98,72.22,calm
2020-06-28,0 days 01:00:00.000000000,phoenix park,11.0,0.89,72.22,moderate
2020-06-28,0 days 01:00:00.000000000,trinity,11.0,0.89,72.22,moderate
2020-06-28,0 days 02:00:00.000000000,trinity,10.94,0.61,72.22,moderate
2020-06-28,0 days 02:00:00.000000000,phoenix park,10.94,0.61,72.22,moderate
2020-06-28,0 days 03:00:00.000000000,phoenix park,11.09,0.19,72.22,moderate
2020-06-28,0 days 03:00:00.000000000,trinity,11.09,0.19,72.22,moderate
2020-06-28,0 days 04:00:00.000000000,trinity,11.1,0.11,72.22,moderate
2020-06-28,0 days 04:00:00.000000000,phoenix park,11.1,0.11,72.22,moderate
2020-06-28,0 days 05:00:00.000000000,phoenix park,11.08,0.2,72.22,moderate
2020-06-28,0 days 05:00:00.000000000,trinity,11.08,0.2,72.22,moderate
2020-06-28,0 days 06:00:00.000000000,trinity,11.1,0.32,72.22,moderate
2020-06-28,0 days 06:00:00.000000000,phoenix park,11.1,0.32,72.22,moderate
2020-06-28,0 days 07:00:00.000000000,phoenix park,11.2,0.14,72.22,moderate
2020-06-28,0 days 07:00:00.000000000,trinity,11.2,0.14,72.22,moderate
2020-06-28,0 days 08:00:00.000000000,trinity,11.22,0.1,72.22,calm
2020-06-28,0 days 08:00:00.000000000,phoenix park,11.22,0.1,72.22,calm
2020-06-28,0 days 09:00:00.000000000,phoenix park,11.46,0.0,72.22,calm
2020-06-28,0 days 09:00:00.000000000,trinity,11.46,0.0,72.22,calm
2020-06-28,0 days 10:00:00.000000000,trinity,13.52,0.0,72.22,moderate
2020-06-28,0 days 10:00:00.000000000,phoenix park,13.52,0.0,72.22,moderate
2020-06-28,0 days 11:00:00.000000000,phoenix park,13.85,0.0,72.22,calm
2020-06-28,0 days 11:00:00.000000000,trinity,13.85,0.0,72.22,calm
2020-06-28,0 days 12:00:00.000000000,trinity,13.95,0.0,72.22,calm
2020-06-28,0 days 12:00:00.000000000,phoenix park,13.95,0.0,72.22,calm
2020-06-28,0 days 13:00:00.000000000,phoenix park,14.96,0.0,72.22,calm
2020-06-28,0 days 13:00:00.000000000,trinity,14.96,0.0,72.22,calm
2020-06-28,0 days 14:00:00.000000000,trinity,15.08,0.1,72.22,calm
2020-06-28,0 days 14:00:00.000000000,phoenix park,15.08,0.1,72.22,calm
2020-06-28,0 days 15:00:00.000000000,phoenix park,16.06,0.0,72.22,moderate
2020-06-28,0 days 15:00:00.000000000,trinity,16.06,0.0,72.22,moderate
2020-06-28,0 days 16:00:00.000000000,trinity,13.5,0.0,72.22,moderate
2020-06-28,0 days 16:00:00.000000000,phoenix park,13.5,0.0,72.22,moderate
2020-06-28,0 days 17:00:00.000000000,phoenix park,14.2,0.0,72.22,moderate
2020-06-28,0 days 17:00:00.000000000,trinity,14.2,0.0,72.22,moderate
2020-06-28,0 days 18:00:00.000000000,trinity,13.26,0.0,72.22,calm
2020-06-28,0 days 18:00:00.000000000,phoenix park,13.26,0.0,72.22,calm
2020-06-28,0 days 19:00:00.000000000,phoenix park,12.7,0.0,72.22,calm
2020-06-28,0 days 19:00:00.000000000,trinity,12.7,0.0,72.22,calm
2020-06-28,0 days 20:00:00.000000000,trinity,12.54,0.0,72.22,calm
2020-06-28,0 days 20:00:00.000000000,phoenix park,12.54,0.0,72.22,calm
2020-06-28,0 days 21:00:00.000000000,phoenix park,12.04,0.0,72.22,moderate
2020-06-28,0 days 21:00:00.000000000,trinity,12.04,0.0,72.22,moderate
2020-06-28,0 days 22:00:00.000000000,trinity,11.69,0.0,72.22,calm
2020-06-28,0 days 22:00:00.000000000,phoenix park,11.69,0.0,72.22,calm
2020-06-28,0 days 23:00:00.000000000,phoenix park,11.46,0.11,72.22,calm
2020-06-28,0 days 23:00:00.000000000,trinity,11.46,0.11,72.22,calm
2020-06-29,0 days 00:00:00.000000000,trinity,11.38,0.0,72.22,calm
2020-06-29,0 days 00:00:00.000000000,phoenix park,11.38,0.0,72.22,calm
2020-06-29,0 days 01:00:00.000000000,phoenix park,11.76,0.0,72.22,calm
2020-06-29,0 days 01:00:00.000000000,trinity,11.76,0.0,72.22,calm
2020-06-29,0 days 02:00:00.000000000,trinity,12.12,0.0,72.22,moderate
2020-06-29,0 days 02:00:00.000000000,phoenix park,12.12,0.0,72.22,moderate
2020-06-29,0 days 03:00:00.000000000,phoenix park,12.34,0.0,72.22,calm
2020-06-29,0 days 03:00:00.000000000,trinity,12.34,0.0,72.22,calm
2020-06-29,0 days 04:00:00.000000000,trinity,11.98,0.0,72.22,moderate
2020-06-29,0 days 04:00:00.000000000,phoenix park,11.98,0.0,72.22,moderate
2020-06-29,0 days 05:00:00.000000000,phoenix park,11.29,0.13,72.22,moderate
2020-06-29,0 days 05:00:00.000000000,trinity,11.29,0.13,72.22,moderate
2020-06-29,0 days 06:00:00.000000000,trinity,11.29,0.1,72.22,moderate
2020-06-29,0 days 06:00:00.000000000,phoenix park,11.29,0.1,72.22,moderate
2020-06-29,0 days 07:00:00.000000000,phoenix park,11.54,0.0,72.22,moderate
2020-06-29,0 days 07:00:00.000000000,trinity,11.54,0.0,72.22,moderate
2020-06-29,0 days 08:00:00.000000000,trinity,11.83,0.0,72.22,calm
2020-06-29,0 days 08:00:00.000000000,phoenix park,11.83,0.0,72.22,calm
2020-06-29,0 days 09:00:00.000000000,phoenix park,11.56,0.21,72.22,calm
2020-06-29,0 days 09:00:00.000000000,trinity,11.56,0.21,72.22,calm
2020-06-29,0 days 10:00:00.000000000,trinity,11.48,0.21,72.22,calm
2020-06-29,0 days 10:00:00.000000000,phoenix park,11.48,0.21,72.22,calm
2020-06-29,0 days 11:00:00.000000000,phoenix park,11.45,0.24,72.22,calm
2020-06-29,0 days 11:00:00.000000000,trinity,11.45,0.24,72.22,calm
2020-06-29,0 days 12:00:00.000000000,trinity,11.69,0.18,72.22,calm
2020-06-29,0 days 12:00:00.000000000,phoenix park,11.69,0.18,72.22,calm
2020-06-29,0 days 13:00:00.000000000,phoenix park,12.53,0.0,72.22,moderate
2020-06-29,0 days 13:00:00.000000000,trinity,12.53,0.0,72.22,moderate
2020-06-29,0 days 14:00:00.000000000,trinity,12.41,0.1,72.22,calm
2020-06-29,0 days 14:00:00.000000000,phoenix park,12.41,0.1,72.22,calm
2020-06-29,0 days 15:00:00.000000000,phoenix park,12.42,0.0,72.22,calm
2020-06-29,0 days 15:00:00.000000000,trinity,12.42,0.0,72.22,calm
